Precision,Stage,BackendId,BackendLabel,N,Reference,TimeMs,GFLOPS,RatioToReference,Matched,Status,Reason,Trial
MXFP4,q1,mxfp4_q1_cutlass_72a_swizzle1,CUTLASS 72a MXFP4 BF16 swizzle tuned,1024,cuBLAS Tensor Core fp16->fp32,0.0172838,124248,1.20599,1,ok,,7
FP8,q0,fp8_q0_cuda_naive,FP8 q0 naive CUDA baseline,1024,cuBLASLt FP8 E4M3,3.51258,611.37,0.00456144,1,ok,,7
FP8,q1,fp8_q1_cuda_vec4cols,FP8 q1 register-tiled four-column CUDA baseline,1024,cuBLASLt FP8 E4M3,2.2628,949.038,0.0070723,1,ok,,7
FP8,q2,fp8_q2_cuda_vec8cols,FP8 q2 register-tiled eight-column CUDA baseline,1024,cuBLASLt FP8 E4M3,1.81385,1183.93,0.00883688,1,ok,,7
FP8,q3,fp8_q3_cuda_vec16cols,FP8 q3 register-tiled sixteen-column CUDA baseline,1024,cuBLASLt FP8 E4M3,2.38421,900.71,0.00676584,1,ok,,7
FP8,q4,fp8_q4_mma_m16n8k32_global,FP8 q4 warp MMA M16N8K32 global-load Tensor Core,1024,cuBLASLt FP8 E4M3,0.431213,4980.1,0.0373273,1,ok,,7
FP8,q5,fp8_q5_mma_m16n8k32_smem64,FP8 q5 warp MMA M16N8K32 shared 64x64 tile,1024,cuBLASLt FP8 E4M3,0.415741,5165.44,0.0386625,1,ok,,7
FP8,q6,fp8_q6_mma_m16n8k32_smem64x128,FP8 q6 warp MMA M16N8K32 shared 64x128 tile,1024,cuBLASLt FP8 E4M3,0.525952,4083.04,0.0302628,1,ok,,7
FP8,q7,fp8_q7_mma_m16n8k32_smem128x64,FP8 q7 warp MMA M16N8K32 shared 128x64 tile,1024,cuBLASLt FP8 E4M3,0.403926,5316.52,0.039627,1,ok,,7
FP8,q8,fp8_q8_cublaslt_matmul,FP8 q8 cuBLASLt matmul backend,1024,cuBLASLt FP8 E4M3,0.0159488,134649,1.01425,1,ok,,7
INT8,q0,int8_q0_cuda_naive,INT8 q0 naive CUDA baseline,1024,cuBLAS INT8,3.69035,581.918,0.00470416,1,ok,,7
INT8,q1,int8_q1_cuda_vec4cols,INT8 q1 register-tiled four-column CUDA baseline,1024,cuBLAS INT8,2.33097,921.283,0.00755051,1,ok,,7
INT8,q2,int8_q2_cuda_vec8cols,INT8 q2 register-tiled eight-column CUDA baseline,1024,cuBLAS INT8,1.80558,1189.36,0.0098025,1,ok,,7
INT8,q3,int8_q3_cuda_vec16cols,INT8 q3 register-tiled sixteen-column CUDA baseline,1024,cuBLAS INT8,1.77617,1209.06,0.00978647,1,ok,,7
INT8,q4,int8_q4_wmma_m16n16k16,INT8 q4 WMMA M16N16K16 Tensor Core baseline,1024,cuBLAS INT8,0.418342,5133.32,0.0420632,1,ok,,7
INT8,q5,int8_q5_wmma_m16n16k16_8warp,INT8 q5 WMMA M16N16K16 8-warps-per-block baseline,1024,cuBLAS INT8,0.431792,4973.42,0.0415904,1,ok,,7
INT8,q6,int8_q6_wmma_m32n8k16,INT8 q6 WMMA M32N8K16 Tensor Core baseline,1024,cuBLAS INT8,0.416691,5153.66,0.0426292,1,ok,,7
INT8,q7,int8_q7_wmma_m8n32k16,INT8 q7 WMMA M8N32K16 Tensor Core baseline,1024,cuBLAS INT8,0.625299,3434.33,0.0276911,1,ok,,7
INT8,q8,int8_q8_wmma_m32n64k16_smem,INT8 q8 WMMA M32N64K16 shared-memory staged baseline,1024,cuBLAS INT8,0.439392,4887.4,0.0406962,1,ok,,7
INT8,q9,int8_q9_wmma_m32n32k16_reuse_a,INT8 q9 WMMA M32N32K16 reuse-A baseline,1024,cuBLAS INT8,0.235478,9119.66,0.0740892,1,ok,,7
INT8,q10,int8_q10_wmma_m32n64k16_reuse_a,INT8 q10 WMMA M32N64K16 reuse-A baseline,1024,cuBLAS INT8,0.214093,10030.6,0.0809817,1,ok,,7
INT8,q11,int8_q11_wmma_m32n128k16_reuse_a,INT8 q11 WMMA M32N128K16 reuse-A pressure test,1024,cuBLAS INT8,0.240115,8943.56,0.0728984,1,ok,,7
INT8,q12,int8_q12_wmma_m128n64k16_4warp_reuse_a,INT8 q12 WMMA M128N64K16 4-warp reuse-A CTA,1024,cuBLAS INT8,0.197277,10885.6,0.088128,1,ok,,7
INT8,q13,int8_q13_wmma_m128n128k16_8warp_reuse_a,INT8 q13 WMMA M128N128K16 8-warp reuse-A CTA,1024,cuBLAS INT8,0.22736,9445.3,0.0765236,1,ok,,7
INT8,q14,int8_q14_wmma_m256n64k16_8warp_reuse_a,INT8 q14 WMMA M256N64K16 8-warp reuse-A CTA,1024,cuBLAS INT8,0.22784,9425.4,0.078118,1,ok,,7
INT8,q15,int8_q15_wmma_m128n64k16_4warp_reuse_a_bcol,INT8 q15 WMMA M128N64K16 4-warp reuse-A B-col layout,1024,cuBLAS INT8,0.122842,17481.7,0.144915,1,ok,,7
INT8,q16,int8_q16_wmma_m128n128k16_8warp_reuse_a_bcol,INT8 q16 WMMA M128N128K16 8-warp reuse-A B-col layout,1024,cuBLAS INT8,0.136118,15776.6,0.127959,1,ok,,7
INT8,q17,int8_q17_wmma_m256n64k16_8warp_reuse_a_bcol,INT8 q17 WMMA M256N64K16 8-warp reuse-A B-col layout,1024,cuBLAS INT8,0.136877,15689.2,0.125964,1,ok,,7
INT8,q18,int8_q18_mma_m16n8k32_smem64,INT8 q18 inline MMA M16N8K32 shared 64x64 tile,1024,cuBLAS INT8,0.396566,5415.19,0.0442438,1,ok,,7
INT8,q19,int8_q19_cublas_gemmex,INT8 q19 cuBLAS GemmEx backend,1024,cuBLAS INT8,0.0173696,123635,1.00608,1,ok,,7
NVFP4,q0,nvfp4_q0_tc6_fused_epilogue,reuse GEMMsm110 tc6 fused NVFP4 epilogue,1024,cuBLAS Tensor Core quantized,0.0758547,28310.5,0.275314,1,ok,,8
NVFP4,q1,nvfp4_q1_native_fp4_mainloop,planned native FP4/NVFP4 mainloop,1024,cuBLAS/cuBLASLt precision reference,,,,0,missing,planned: replace FP16 mainloop + requant with native FP4/NVFP4 path,8
